대피소명,주소,위도,경도,수용인원,시도,시군구
초계중학교 운동장,경상남도 합천군 초계면 초계중앙로 83,35.55957826,128.2699259,24479,경남,합천군
명덕초등학교 운동장,경상남도 창녕군 창녕읍 명덕로 71,35.54346225,128.4968662,6407,경남,창녕군
남지초등학교 운동장,경상남도 창녕군 남지읍 낙동로 429,35.38867386,128.4714603,7397,경남,창녕군
성산초등학교 운동장,경상남도 창녕군 성산면 중고개길 24-7 ,35.62341335,128.477962,8303,경남,창녕군
이방초등학교 운동장,경상남도 창녕군 이방면 안리내동길 3,35.57741391,128.3873516,4606,경남,창녕군
도천초등학교 운동장,경상남도 창녕군 도천면 도천3길 16,35.43416959,128.5172966,3272,경남,창녕군
감전초등학교 운동장,부산광역시 사상구 괘감로 132(감전동),35.15578782,128.9882795,4813,부산,사상구
신서중앙공원,대구광역시 동구 동내로 117(신서동),35.8798534,128.7307763,81346,대구,동구
내서초등학교,대구광역시 서구 달구벌대로371길 35(내당동),35.86412837,128.5666088,2727,대구,서구
이현초등학교,대구광역시 서구 국채보상로37길 35(평리동),35.87319556,128.5504817,8690,대구,서구
북비산초등학교,대구광역시 서구 통학로48길 7(비산동),35.88167946,128.5641015,3260,대구,서구
문산초등학교 운동장,경상남도 진주시 문산읍 소문길 11,35.17123762,128.1622831,7640,경남,진주시
내동초등학교 운동장,경상남도 진주시 내동면 순환로 426,35.16454352,128.0680738,5842,경남,진주시
부산대신중학교 운동장,부산광역시 서구 대신로109번길 10(서대신동3가),35.11772425,129.0138848,8522,부산,서구
예하초등학교 운동장,경상남도 진주시 정촌면 삼일로 50,35.12460341,128.0990812,3890,경남,진주시
반성초등학교 운동장,경상남도 진주시 일반성면 동부로 2060,35.16932807,128.2857593,4313,경남,진주시
이반성초등학교 운동장,경상남도 진주시 이반성면 오봉산로 762,35.1730976,128.3290943,8531,경남,진주시
연암중학교 운동장,울산광역시 북구 사청1길 12(연암동),35.58514049,129.360339,5704,울산,북구
연암초등학교 운동장,울산광역시 북구 두부곡4길 35(연암동),35.58591291,129.3691764,4293,울산,북구
해운초등학교 운동장,경상남도 창원시 마산합포구 월영남로 24(월영동),35.17666008,128.5578378,9436,경남,창원시
북성초등학교 운동장,경상남도 창원시 마산회원구 석전북1길 3(석전동),35.23156982,128.5705906,6047,경남,창원시
양덕중학교 운동장,경상남도 창원시 마산회원구 학교단지로 47(합성동),35.24233027,128.5953547,9670,경남,창원시
세종고등학교 운동장,경상남도 밀양시 가곡8길 28(가곡동),35.47412671,128.7639965,2909,경남,밀양시
선돌마당공원,대구광역시 달서구 월암로 63(월암동),35.82255002,128.5156775,10460,대구,달서구
용마초등학교운동장,경상남도 창원시 마산합포구 산호남로 50(산호동),35.21548941,128.5845275,3612,경남,창원시
사봉초등학교 운동장,경상남도 진주시 사봉면 사군로 99,35.18873309,128.2695533,7758,경남,진주시
지수초등학교 운동장,경상남도 진주시 지수면 지사로 806,35.23307587,128.2527928,2909,경남,진주시
금호초등학교 운동장,경상남도 진주시 금산면 중천로67번길 25,35.21874936,128.1434347,2281,경남,진주시
금산초등학교 운동장,경상남도 진주시 금산면 금산로 75,35.21525212,128.1441823,5983,경남,진주시
집현초등학교 운동장,경상남도 진주시 집현면 지내길 271,35.24152853,128.092617,4385,경남,진주시
미천초등학교 운동장,경상남도 진주시 미천면 안간길 18-8 ,35.31876263,128.0881888,8303,경남,진주시
경상남도 교육연수원(나눔관) 운동장,경상남도 진주시 대평면 한들길 65,35.23475397,127.9597272,3833,경남,진주시
동도초등학교,대구광역시 수성구 동대구로57길 8(범어동),35.85655849,128.6241147,4570,대구,수성구
범어초등학교,대구광역시 수성구 달구벌대로489길 55(범어동),35.86072284,128.6329427,15700,대구,수성구
동천초등학교,대구광역시 수성구 상록로16길 20(범어동),35.86531155,128.6252171,15878,대구,수성구
경동초등학교,대구광역시 수성구 청호로76길 12(범어동),35.85265698,128.6393362,10667,대구,수성구
중앙초등학교,대구광역시 수성구 만촌로 125(만촌동),35.86972974,128.6407721,3368,대구,수성구
